date,team1,team1_classified,score1,team2,team2_classified,score2,forfeit,overtime
2026-08-27,Liberty,True,2,St. Pius X (Kansas City),True,3,False,False
2026-08-27,Oak Park,True,0,Staley,True,3,False,False
2026-08-27,Christian Fellowship Sr.,True,3,Sunnydale Adventist Acad HS,False,1,False,False
2026-08-27,McDonald County,True,0,"Thaden(Rogers, AR)",False,3,False,False
2026-08-27,Holt,True,3,Timberland,True,2,False,False
2026-08-27,Warrensburg,True,3,Van Horn,True,0,False,False
2026-08-27,Stover,True,3,Versailles,True,1,False,False
2026-08-27,Cole Camp,True,3,Warsaw,True,0,False,False
2026-08-27,St. Francis Borgia,True,3,Washington,True,0,False,False
2026-08-27,Bowling Green,True,0,Winfield,True,3,False,False
2026-08-27,Hazelwood Central,True,,Clayton,True,,False,False
2026-08-27,Kelly,True,,"Egyptian(Tamms, IL)",False,,False,False
2026-08-27,Mansfield,True,,Lutie,True,,False,False
2026-08-27,Hillsboro,True,,Notre Dame (Cape Girardeau),True,,False,False
2026-08-28,Cristo Rey,True,3,Academie Lafayette,True,0,False,False
2026-08-28,Benton,True,0,Adrian,True,2,False,False
2026-08-28,Sullivan,True,2,Adrian,True,0,False,False
2026-08-28,Couch,True,3,Bakersfield,True,1,False,False
2026-08-28,KIPP KC Legacy,True,0,Barstow,True,3,False,False
2026-08-28,Licking,True,2,Belle,True,1,False,False
2026-08-28,North Point,True,2,"Belleville West(Belleville , IL)",False,0,False,False
2026-08-28,Bishop LeBlond,True,1,Belton,True,2,False,False
2026-08-28,Notre Dame de Sion,True,0,Belton,True,2,False,False
2026-08-28,Liberty (Mountain View),True,1,Benton,True,2,False,False
2026-08-28,Richland (Essex),True,0,Bernie,True,3,False,False
2026-08-28,Faith Christian Academy,True,0,"Bishop Seabury(Lawrence , KS)",False,3,False,False
2026-08-28,Leopold,True,3,Bloomfield,True,0,False,False
2026-08-28,Valley Park,True,0,Bourbon,True,3,False,False
2026-08-28,Purdy,True,3,Bronaugh,True,0,False,False
2026-08-28,Saxony Lutheran,True,2,Cameron,True,0,False,False
2026-08-28,Fatima,True,2,Cameron,True,1,False,False
2026-08-28,"Piggott(Piggott, AR)",False,1,Campbell,True,3,False,False
2026-08-28,Nerinx Hall,True,2,Cardinal Ritter,True,0,False,False
2026-08-28,St. Pius X (Kansas City),True,2,Central (St. Joseph),True,0,False,False
2026-08-28,Seckman,True,2,Central (St. Joseph),True,0,False,False
2026-08-28,Delta (Deering),True,0,Clarkton,True,3,False,False
2026-08-28,Blair Oaks,True,0,"Columbia(Columbia, IL)",False,2,False,False
2026-08-28,Ellington,True,1,Eminence,True,3,False,False
2026-08-28,Marion C. Early,True,0,Everton,True,3,False,False
2026-08-28,MICDS,True,1,Farmington,True,2,False,False
2026-08-28,North Point,True,0,Farmington,True,3,False,False
2026-08-28,Rock Port,True,0,Fatima,True,2,False,False
2026-08-28,Hurley,True,0,Fordland,True,3,False,False
2026-08-28,Bishop LeBlond,True,2,Hannibal,True,0,False,False
2026-08-28,Collegiate School of Med-Bio Science,True,1,Hazelwood West,True,3,False,False
2026-08-28,Southland,True,0,Holcomb,True,3,False,False
2026-08-28,Ballard,True,0,La Monte,True,3,False,False
2026-08-28,Liberty (Mountain View),True,2,Lafayette County,True,0,False,False
2026-08-28,Sullivan,True,2,Lafayette County,True,0,False,False
2026-08-28,Jennings,True,0,Maplewood-Richmond Hts.,True,3,False,False
2026-08-28,Lutheran (Kansas City),True,0,"Maranatha Christian(Lenexa, KS)",False,3,False,False
2026-08-28,Oak Grove,True,2,Maryville,True,0,False,False
2026-08-28,Notre Dame de Sion,True,2,Maryville,True,1,False,False
2026-08-28,Oak Ridge,True,3,Meadow Heights,True,0,False,False
2026-08-28,Nerinx Hall,True,2,Mehlville,True,0,False,False
2026-08-28,North Point,True,1,MICDS,True,2,False,False
2026-08-28,Vashon,True,3,Miller Career Academy,True,0,False,False
2026-08-28,Hannibal,True,1,Oak Grove,True,2,False,False
2026-08-28,Prairie Home,True,0,Otterville,True,3,False,False
2026-08-28,Liberty North,True,1,Ozark,True,3,False,False
2026-08-28,Whitfield,True,0,Parkway South,True,3,False,False
2026-08-28,Risco,True,1,Portageville,True,3,False,False
2026-08-28,Westminster Christian Academy,True,3,Principia,True,0,False,False
2026-08-28,St. Pius X (Kansas City),True,2,Raymore-Peculiar,True,1,False,False
2026-08-28,Savannah,True,1,Raymore-Peculiar,True,2,False,False
2026-08-28,Northland Christian,True,0,Rock Port,True,2,False,False
2026-08-28,Seckman,True,1,Savannah,True,2,False,False
2026-08-28,Northland Christian,True,0,Saxony Lutheran,True,2,False,False
2026-08-28,Spokane,True,3,School of the Ozarks,True,1,False,False
2026-08-28,North Pemiscot,True,3,Senath-Hornersville,True,0,False,False
2026-08-28,Miami (Amoret),True,0,Sheldon,True,3,False,False
2026-08-28,Farmington,True,2,"St. Louis Panthers(St. Louis, MO)",False,1,False,False
2026-08-28,Blair Oaks,True,0,"St. Louis Panthers Volleyball(St. Louis, MO)",False,2,False,False
2026-08-28,Eagle Ridge Christian,False,0,St. Paul Lutheran (Farmington),True,3,False,False
2026-08-28,Lesterville,True,3,West County,True,1,False,False
2026-08-28,Greenville,True,3,Zalma,True,1,False,False
2026-08-28,St. Joseph's Academy,True,,"Althoff(Althoff, IL)",False,,False,False
2026-08-28,Lutheran North,True,,"Centralia(Centralia, IL)",False,,False,False
2026-08-28,St. Joseph's Academy,True,,Duchesne,True,,False,False
2026-08-28,St. Pius X (Festus),True,,"Mater Dei(Breese, IL)",False,,False,False
2026-08-28,Webster Groves,True,,MICDS,True,,False,False
2026-08-28,St. Joseph's Academy,True,,"Quincy Notre Dame(Quincy, IL)",False,,False,False
2026-08-28,St. Pius X (Festus),True,,"Quincy Notre Dame(Quincy, IL)",False,,False,False
2026-08-28,St. Louis Christian Sr.,False,,Rock Bridge,True,,False,False
2026-08-28,Lutheran North,True,,St. Charles West,True,,False,False
2026-08-28,St. Pius X (Festus),True,,St. Joseph's Academy,True,,False,False
2026-08-28,Rock Bridge,True,,Webster Groves,True,,False,False
2026-08-29,Liberty (Mountain View),True,1,Adrian,True,2,False,False
2026-08-29,Lafayette County,True,0,Adrian,True,2,False,False
2026-08-29,Pacific,True,2,"Alton(Alton, IL)",False,0,False,False
2026-08-29,Stockton,True,1,Ash Grove,True,2,False,False
2026-08-29,Osceola,True,2,Ash Grove,True,0,False,False
2026-08-29,El Dorado Springs,True,0,Ash Grove,True,2,False,False
2026-08-29,Sparta,True,0,Ash Grove,True,2,False,False
2026-08-29,Blair Oaks,True,2,"Belleville West(Belleville, IL)",False,0,False,False
2026-08-29,Hannibal,True,2,Belton,True,0,False,False
2026-08-29,Maryville,True,1,Belton,True,2,False,False
2026-08-29,Blue Springs South,True,0,"Bentonville West(Bentonville, AR)",False,2,False,False
2026-08-29,Notre Dame de Sion,True,2,Bishop LeBlond,True,1,False,False
2026-08-29,St. Teresa's Academy,True,1,"Bishop Miege HS(Fairway, KS)",False,2,False,False
2026-08-29,Seymour,True,0,Blue Eye,True,2,False,False
2026-08-29,Couch,True,0,Blue Eye,True,2,False,False
2026-08-29,Gainesville,True,0,Blue Eye,True,2,False,False
2026-08-29,Lee's Summit West,True,2,"Blue Valley West(Lenexa, KS)",False,1,False,False
2026-08-29,Helias Catholic,True,2,Bolivar,True,0,False,False
2026-08-29,Lebanon,True,2,Bolivar,True,0,False,False
2026-08-29,Summit Christian Academy,True,2,Bolivar,True,0,False,False
2026-08-29,Strafford,True,2,Bolivar,True,0,False,False
2026-08-29,Linn,True,1,Boonville,True,1,False,False
2026-08-29,Father Tolton,True,1,Boonville,True,1,False,False
2026-08-29,Christian Fellowship Sr.,True,0,Boonville,True,2,False,False
2026-08-29,Tipton,True,0,Boonville,True,2,False,False
2026-08-29,Laquey,True,0,Bourbon,True,2,False,False
2026-08-29,Plato,True,1,Bourbon,True,1,False,False
2026-08-29,Strafford,True,2,Branson,True,1,False,False
2026-08-29,Ash Grove,True,2,Buffalo,True,0,False,False
2026-08-29,El Dorado Springs,True,0,Buffalo,True,2,False,False
2026-08-29,Sparta,True,0,Buffalo,True,2,False,False
2026-08-29,Diamond,True,2,Buffalo,True,0,False,False
2026-08-29,Blue Springs South,True,0,"Cabot(Cabot, AR)",False,2,False,False
2026-08-29,Northland Christian,True,2,Cameron,True,0,False,False
2026-08-29,Rock Port,True,2,Cameron,True,0,False,False
2026-08-29,Clever,True,2,Capital City,True,3,False,False
2026-08-29,Branson,True,1,Carthage,True,1,False,False
2026-08-29,Rolla,True,0,Carthage,True,2,False,False
2026-08-29,Helias Catholic,True,2,Carthage,True,0,False,False
2026-08-29,Parkview,True,0,Carthage,True,2,False,False
2026-08-29,Springfield Catholic,True,0,Carthage,True,2,False,False
2026-08-29,Strafford,True,0,Carthage,True,2,False,False
2026-08-29,Ste. Genevieve,True,2,Central (Cape Girardeau),True,0,False,False
2026-08-29,Veritas Christian Academy,True,0,Central (Cape Girardeau),True,2,False,False
2026-08-29,Savannah,True,2,Central (St. Joseph),True,0,False,False
2026-08-29,Raymore-Peculiar,True,2,Central (St. Joseph),True,0,False,False
2026-08-29,Liberal,True,2,"Central Heights(Richmond, KS)",False,0,False,False
2026-08-29,Nerinx Hall,True,2,"Centralia(Centralia, IL)",False,0,False,False
2026-08-29,Nerinx Hall,True,2,Clayton,True,1,False,False
2026-08-29,Marshfield,True,3,Clever,True,0,False,False
2026-08-29,MICDS,True,2,"Columbia(Columbia, IL)",False,1,False,False
2026-08-29,Gainesville,True,2,Couch,True,0,False,False
2026-08-29,Seymour,True,0,Couch,True,2,False,False
2026-08-29,Winona,True,2,Crane,True,0,False,False
2026-08-29,Miller,True,2,Crane,True,0,False,False
2026-08-29,Marionville,True,1,Crane,True,1,False,False
2026-08-29,New Heights Christian,True,1,Crane,True,2,False,False
2026-08-29,Sarcoxie,True,2,Crane,True,0,False,False
2026-08-29,Owensville,True,2,Cuba,True,0,False,False
2026-08-29,North County,True,1,Cuba,True,2,False,False
2026-08-29,Licking,True,1,Cuba,True,2,False,False
2026-08-29,Ste. Genevieve,True,2,DeSoto,True,0,False,False
2026-08-29,Poplar Bluff,True,2,DeSoto,True,0,False,False
2026-08-29,Central (Cape Girardeau),True,1,DeSoto,True,1,False,False
2026-08-29,Warrenton,True,2,DeSoto,True,0,False,False
2026-08-29,Stockton,True,1,Diamond,True,1,False,False
2026-08-29,Osceola,True,2,Diamond,True,0,False,False
2026-08-29,Pleasant Hope,True,1,Diamond,True,1,False,False
2026-08-29,North Platte,True,0,East Buchanan,True,2,False,False
2026-08-29,Lathrop,True,0,East Buchanan,True,2,False,False
2026-08-29,Lawson,True,0,East Buchanan,True,2,False,False
2026-08-29,West Platte,True,2,East Buchanan,True,1,False,False
2026-08-29,Fair Grove,True,1,East Newton,True,1,False,False
2026-08-29,Republic,True,2,East Newton,True,0,False,False
2026-08-29,Kearney,True,1,East Newton,True,1,False,False
2026-08-29,Stockton,True,2,El Dorado Springs,True,0,False,False
2026-08-29,Sparta,True,0,El Dorado Springs,True,2,False,False
2026-08-29,Kearney,True,1,Fair Grove,True,1,False,False
2026-08-29,Republic,True,2,Fair Grove,True,0,False,False
2026-08-29,Blair Oaks,True,2,Farmington,True,0,False,False
2026-08-29,Blue Springs South,True,0,"Farmington(Farmington, AR)",False,2,False,False
2026-08-29,Northland Christian,True,2,Fatima,True,0,False,False
2026-08-29,Saxony Lutheran,True,2,Fatima,True,0,False,False
2026-08-29,Sarcoxie,True,1,Forsyth,True,1,False,False
2026-08-29,New Heights Christian,True,1,Forsyth,True,1,False,False
2026-08-29,Monett,True,1,Forsyth,True,1,False,False
2026-08-29,Pierce City,True,1,Forsyth,True,1,False,False
2026-08-29,Winona,True,2,Forsyth,True,0,False,False
2026-08-29,Liberal,True,2,"Fort Scott Christian Heights(Fort Scott, KS)",False,1,False,False
2026-08-29,Francis Howell North,True,0,Francis Howell Central,True,2,False,False
2026-08-29,St. Vincent,True,0,Francis Howell Central,True,2,False,False
2026-08-29,Westminster Christian Academy,True,2,Francis Howell Central,True,0,False,False
2026-08-29,Parkway Central,True,2,Francis Howell Central,True,1,False,False
2026-08-29,Oakville,True,2,Francis Howell North,True,1,False,False
2026-08-29,Westminster Christian Academy,True,1,Francis Howell North,True,1,False,False
2026-08-29,St. Vincent,True,0,Francis Howell North,True,2,False,False
2026-08-29,West Nodaway with Nodaway-Holt,True,2,"Freemont Mills(Tabor, IA)",False,1,False,False
2026-08-29,Tarkio with Fairfax,True,0,"Fremont Mills(Tabor , IA)",False,2,False,False
2026-08-29,Niangua,True,0,Gainesville,True,2,False,False
2026-08-29,STEAM Academy,True,0,Gateway Science Charter,True,2,False,False
2026-08-29,Blue Springs South,True,2,"Greenbrier(Greenbrier, AR)",False,1,False,False
2026-08-29,Blue Springs South,True,2,"Greenwood(Greenwood , AR)",False,0,False,False
2026-08-29,Christian Fellowship Sr.,True,0,Hallsville,True,2,False,False
2026-08-29,Montgomery County,True,1,Hallsville,True,1,False,False
2026-08-29,Linn,True,0,Hallsville,True,2,False,False
2026-08-29,Father Tolton,True,0,Hallsville,True,2,False,False
2026-08-29,Hazelwood West,True,2,Hazelwood Central,True,0,False,False
2026-08-29,Jennings,True,0,Hazelwood Central,True,2,False,False
2026-08-29,McCluer,True,0,Hazelwood Central,True,2,False,False
2026-08-29,Hazelwood West,True,2,Hazelwood East,True,0,False,False
2026-08-29,Jennings,True,0,Hazelwood East,True,2,False,False
2026-08-29,McCluer,True,0,Hazelwood East,True,2,False,False
2026-08-29,Normandy Collaborative,False,0,Hazelwood West,True,1,False,False
2026-08-29,Jennings,True,0,Hazelwood West,True,2,False,False
2026-08-29,McCluer North,True,0,Hazelwood West,True,2,False,False
2026-08-29,Summit Christian Academy,True,0,Helias Catholic,True,2,False,False
2026-08-29,Lutheran South,True,1,Hermann,True,1,False,False
2026-08-29,Windsor,True,2,Hermann,True,0,False,False
2026-08-29,Orchard Farm,True,2,Hermann,True,0,False,False
2026-08-29,Notre Dame (Cape Girardeau),True,2,Hermann,True,0,False,False
2026-08-29,Poplar Bluff,True,1,Hillsboro,True,1,False,False
2026-08-29,Ste. Genevieve,True,2,Hillsboro,True,1,False,False
2026-08-29,Veritas Christian Academy,True,0,Hillsboro,True,2,False,False
2026-08-29,John Burroughs,True,1,Holt,True,2,False,False
2026-08-29,Visitation Academy,True,0,Holt,True,2,False,False
2026-08-29,Villa Duchesne,True,0,Holt,True,2,False,False
2026-08-29,McCluer North,True,0,Jennings,True,2,False,False
2026-08-29,Normandy Collaborative,False,0,Jennings,True,1,False,False
2026-08-29,Notre Dame (St. Louis),True,0,John Burroughs,True,2,False,False
2026-08-29,Lebanon,True,2,Kearney,True,0,False,False
2026-08-29,Republic,True,2,Kearney,True,0,False,False
2026-08-29,Summit Christian Academy,True,0,Kearney,True,2,False,False
2026-08-29,Liberty,True,0,Kickapoo,True,2,False,False
2026-08-29,Liberty North,True,2,Kickapoo,True,0,False,False
2026-08-29,Christian Fellowship Sr.,True,0,Kirksville,True,2,False,False
2026-08-29,Hallsville,True,2,Kirksville,True,0,False,False
2026-08-29,Montgomery County,True,2,Kirksville,True,0,False,False
2026-08-29,Tipton,True,2,Kirksville,True,0,False,False
2026-08-29,Blue Eye,True,2,Koshkonong,True,0,False,False
2026-08-29,Gainesville,True,2,Koshkonong,True,0,False,False
2026-08-29,Niangua,True,0,Koshkonong,True,2,False,False
2026-08-29,Couch,True,2,Koshkonong,True,0,False,False
2026-08-29,Benton,True,2,Lafayette County,True,0,False,False
2026-08-29,North Platte,True,0,Lathrop,True,2,False,False
2026-08-29,Penney,True,0,Lathrop,True,2,False,False
2026-08-29,Plattsburg,True,2,Lathrop,True,0,False,False
2026-08-29,Lathrop,True,0,Lawson,True,2,False,False
2026-08-29,North Platte,True,0,Lawson,True,2,False,False
2026-08-29,Mid-Buchanan,True,2,Lawson,True,0,False,False
2026-08-29,Springfield Catholic,True,1,Lebanon,True,1,False,False
2026-08-29,Mt. Vernon,True,1,Lebanon,True,1,False,False
2026-08-29,Nixa,True,2,Liberty,True,0,False,False
2026-08-29,Nixa,True,2,Liberty North,True,1,False,False
